ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
98374,PUYALLUP,WA,30236,Seattle,309,3367,,89060,305,3314,,81137,42660,16,12,4,16,13,3,366249,187700,178549,352619,181948,170671,71,65,6,74,66,8,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,691,19,311,305,2.21,-0.26,-3.88,-1.93,128
98373,PUYALLUP,WA,16734,Seattle,724,8197,,188332,803,9189,,249057,42660,17,10,7,18,9,9,366249,187700,178549,352619,181948,170671,162,147,15,190,157,33,1742649,1410483,332166,1831150,1468265,362885,8,7,1,5,4,1,120552,78486,42066,137293,89935,47358,690,19,724,815,2.21,-0.11,10.47,12.57,129
98433,TACOMA,WA,19801,Seattle,39,529,,11949,50,699,,20124,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,14,7,7,20,13,7,1742649,1410483,332166,1831150,1468265,362885,2,1,1,3,3,0,120552,78486,42066,137293,89935,47358,711,12,43,50,2.21,1.39,12.68,16.28,130
98438,MCCHORD AFB,WA,0,Seattle,20,203,,6575,17,152,,4024,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,5,3,2,4,2,2,1099481,897739,201742,1161482,940626,220856,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,712,7,20,18,2.21,1.43,-13.64,-10.00,131
98447,TACOMA,WA,80,Seattle,6,1750,B,0,5,1750,B,0,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,0,0,0,0,0,0,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,718,3,6,6,2.21,2.05,-4.26,0.00,132
98439,LAKEWOOD,WA,6806,Seattle,32,329,,7013,44,519,,14585,42660,1,0,1,1,0,1,366249,187700,178549,352619,181948,170671,15,11,4,14,12,2,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,713,15,44,44,2.21,0.43,-2.64,0.00,133
98360,ORTING,WA,7939,Seattle,107,981,,23126,98,1058,,27528,42660,7,6,1,5,3,2,366249,187700,178549,352619,181948,170671,14,11,3,18,16,2,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,687,17,107,100,2.21,-0.44,-8.31,-6.54,134
98387,SPANAWAY,WA,36563,Seattle,383,2636,,50017,387,2625,,57293,42660,20,17,3,17,14,3,366249,187700,178549,352619,181948,170671,80,72,8,79,65,14,1742649,1410483,332166,1831150,1468265,362885,2,2,0,5,4,1,120552,78486,42066,137293,89935,47358,693,19,413,387,2.21,-0.32,-8.18,-6.30,135
98430,CAMP MURRAY,WA,219,Seattle,4,13,,302,2,5,A,0,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,1,1,0,1,1,0,350880,259017,91863,362665,263176,99489,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,710,2,4,3,2.21,-1.30,-25.91,-25.00,136
98375,PUYALLUP,WA,14629,Seattle,202,1419,,38564,220,1825,,50706,42660,9,5,4,10,5,5,366249,187700,178549,352619,181948,170671,45,39,6,45,36,9,1742649,1410483,332166,1831150,1468265,362885,2,2,0,1,0,1,120552,78486,42066,137293,89935,47358,692,17,222,220,2.21,-0.34,-2.77,-0.90,137
98327,DUPONT,WA,2406,Seattle,14,619,,46052,39,1750,B,0,42660,2,1,1,2,0,2,366249,187700,178549,352619,181948,170671,19,4,15,12,11,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,676,14,48,39,2.21,1.83,-22.79,-18.75,138
